task,model,strategy,lang_code,language,resource_level,accuracy,n_correct,n_total
belebele,claude-sonnet-4,direct,swh_Latn,Swahili,low,1.0,50,50
belebele,claude-sonnet-4,direct,hin_Deva,Hindi,medium,0.9,45,50
belebele,claude-sonnet-4,self_translate,eng,English,high,1.0,50,50
belebele,claude-sonnet-4,self_translate,zho_Hans,Chinese,high,1.0,50,50
belebele,claude-sonnet-4,self_translate,deu_Latn,German,high,0.96,48,50
belebele,claude-sonnet-4,self_translate,fra_Latn,French,high,0.94,47,50
belebele,claude-sonnet-4,self_translate,rus_Cyrl,Russian,medium,1.0,50,50
belebele,claude-sonnet-4,self_translate,jpn_Jpan,Japanese,medium,0.96,48,50
belebele,claude-sonnet-4,self_translate,swh_Latn,Swahili,low,1.0,50,50
belebele,claude-sonnet-4,self_translate,hin_Deva,Hindi,medium,0.88,44,50
belebele,claude-sonnet-4,english_cot,eng,English,high,1.0,50,50
belebele,claude-sonnet-4,english_cot,zho_Hans,Chinese,high,1.0,50,50
belebele,claude-sonnet-4,english_cot,deu_Latn,German,high,0.96,48,50
belebele,claude-sonnet-4,english_cot,fra_Latn,French,high,0.96,48,50
belebele,claude-sonnet-4,english_cot,rus_Cyrl,Russian,medium,0.98,49,50
belebele,claude-sonnet-4,english_cot,jpn_Jpan,Japanese,medium,0.98,49,50
belebele,claude-sonnet-4,english_cot,swh_Latn,Swahili,low,0.96,48,50
belebele,claude-sonnet-4,english_cot,hin_Deva,Hindi,medium,0.88,44,50
