task,model,strategy,language,resource_level,english_acc,lang_acc,gap
belebele,claude-sonnet-4,direct,Japanese,medium,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,direct,Swahili,low,1.0,1.0,0.0
belebele,claude-sonnet-4,direct,Hindi,medium,1.0,0.9,0.09999999999999998
belebele,claude-sonnet-4,self_translate,Chinese,high,1.0,1.0,0.0
belebele,claude-sonnet-4,self_translate,German,high,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,self_translate,French,high,1.0,0.94,0.06000000000000005
belebele,claude-sonnet-4,self_translate,Russian,medium,1.0,1.0,0.0
belebele,claude-sonnet-4,self_translate,Japanese,medium,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,self_translate,Swahili,low,1.0,1.0,0.0
belebele,claude-sonnet-4,self_translate,Hindi,medium,1.0,0.88,0.12
belebele,claude-sonnet-4,english_cot,Chinese,high,1.0,1.0,0.0
belebele,claude-sonnet-4,english_cot,German,high,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,english_cot,French,high,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,english_cot,Russian,medium,1.0,0.98,0.020000000000000018
belebele,claude-sonnet-4,english_cot,Japanese,medium,1.0,0.98,0.020000000000000018
belebele,claude-sonnet-4,english_cot,Swahili,low,1.0,0.96,0.040000000000000036
belebele,claude-sonnet-4,english_cot,Hindi,medium,1.0,0.88,0.12
